"species","clade"
"A_alge","Other Canonical Microsporidia"
"T_rati","Other Canonical Microsporidia"
"A_locu","Other Canonical Microsporidia"
"A_sp.","Metchnikovellids"
"M_incu","Metchnikovellids"
"C_dike","Other Canonical Microsporidia"
"D_muel","Other Canonical Microsporidia"
"D_roes","Other Canonical Microsporidia"
"E_aedi","Other Canonical Microsporidia"
"E_bien","Enterocytozoon"
"E_canc","Enterocytozoon"
"E_hepa","Enterocytozoon"
"E_brev","Other Canonical Microsporidia"
"P_epip","Other Canonical Microsporidia"
"P_phil","Other Canonical Microsporidia"
"V_corn","Other Canonical Microsporidia"
"E_cuni","Encephalitozoon"
"E_hell","Encephalitozoon"
"E_inte","Encephalitozoon"
"E_roma","Encephalitozoon"
"N_cera","Nosema"
"N_gran","Nosema"
"O_coll","Encephalitozoon"
"T_cont","Other Canonical Microsporidia"
"H_erio","Enterocytozoon"
"H_magn","Other Canonical Microsporidia"
"H_tvae","Other Canonical Microsporidia"
"M_daph","Early Diverging Microsporidia"
"N_apis","Nosema"
"N_ausu","Nematocida"
"N_cide","Nematocida"
"N_disp","Nematocida"
"N_ferr","Nematocida"
"N_homo","Nematocida"
"N_iron","Nematocida"
"N_majo","Nematocida"
"N_mino","Nematocida"
"N_okwa","Nematocida"
"N_pari","Nematocida"
"N_bomb","Nosema"
"P_neur","Other Canonical Microsporidia"
"P_sacc","Early Diverging Microsporidia"
"R_allo","Rozella"
"S_loph","Other Canonical Microsporidia"
"T_homi","Other Canonical Microsporidia"
"V_culi","Other Canonical Microsporidia"
