species,yeast_ortholog,domain_arch_conservation
A_alge,O13329,Ortholog not conserved
A_alge,O13525,Ortholog not conserved
A_alge,O13563,Ortholog not conserved
A_alge,O14464,Ortholog not conserved
A_alge,O14467,Lost domain(s)
A_alge,O60200,Ortholog not conserved
A_alge,O74700,Ortholog not conserved
A_alge,O94742,Ortholog not conserved
A_alge,P00128,Ortholog not conserved
A_alge,P00163,Ortholog not conserved
A_alge,P00410,Ortholog not conserved
A_alge,P00420,Ortholog not conserved
A_alge,P00427,Ortholog not conserved
A_alge,P00560,Conserved domain architecture
A_alge,P00572,Lost domain(s)
A_alge,P00724,Ortholog not conserved
A_alge,P00812,Ortholog not conserved
A_alge,P00815,Ortholog not conserved
A_alge,P00830,Ortholog not conserved
A_alge,P00854,Ortholog not conserved
A_alge,P00958,Lost domain(s)
A_alge,P02309,Conserved domain architecture
A_alge,P02406,Conserved domain architecture
A_alge,P02992,Ortholog not conserved
A_alge,P03069,Ortholog not conserved
A_alge,P04037,Ortholog not conserved
A_alge,P04397,Ortholog not conserved
A_alge,P04456,Lost domain(s)
A_alge,P04650,Ortholog not conserved
A_alge,P04786,Ortholog not conserved
A_alge,P04802,Lost domain(s)
A_alge,P04803,Ortholog not conserved
A_alge,P05066,Ortholog not conserved
A_alge,P05317,Lost domain(s)
A_alge,P05373,Ortholog not conserved
A_alge,P05374,Ortholog not conserved
A_alge,P05626,Ortholog not conserved
A_alge,P05747,Conserved domain architecture
A_alge,P05750,Conserved domain architecture
A_alge,P05756,Lost domain(s)
A_alge,P06100,Conserved domain architecture
A_alge,P06101,Ortholog not conserved
A_alge,P06105,Ortholog not conserved
A_alge,P06174,Ortholog not conserved
A_alge,P06197,Conserved domain architecture
A_alge,P06243,Ortholog not conserved
A_alge,P06738,Ortholog not conserved
A_alge,P06773,Conserved domain architecture
A_alge,P06774,Conserved domain architecture
A_alge,P06776,Ortholog not conserved
A_alge,P06777,Ortholog not conserved
A_alge,P06778,Conserved domain architecture
A_alge,P06785,Conserved domain architecture
A_alge,P06786,Conserved domain architecture
A_alge,P06838,Ortholog not conserved
A_alge,P06844,Ortholog not conserved
A_alge,P07143,Ortholog not conserved
A_alge,P07251,Ortholog not conserved
A_alge,P07260,Ortholog not conserved
A_alge,P07263,Conserved domain architecture
A_alge,P07273,Lost domain(s)
A_alge,P07274,Ortholog not conserved
A_alge,P07275,Ortholog not conserved
A_alge,P07277,Lost domain(s)
A_alge,P07278,Ortholog not conserved
A_alge,P07283,Conserved domain architecture
A_alge,P07284,Conserved domain architecture
A_alge,P07286,Ortholog not conserved
A_alge,P07806,Gained/swapped domain(s)
A_alge,P07807,Conserved domain architecture
A_alge,P07884,Ortholog not conserved
A_alge,P07991,Ortholog not conserved
A_alge,P08067,Ortholog not conserved
A_alge,P08417,Ortholog not conserved
A_alge,P08425,Ortholog not conserved
A_alge,P08432,Ortholog not conserved
A_alge,P08524,Ortholog not conserved
A_alge,P08525,Ortholog not conserved
A_alge,P09032,Ortholog not conserved
A_alge,P09064,Conserved domain architecture
A_alge,P09201,Ortholog not conserved
A_alge,P09368,Ortholog not conserved
A_alge,P09457,Ortholog not conserved
A_alge,P09798,Ortholog not conserved
A_alge,P09950,Ortholog not conserved
A_alge,P0C074,Ortholog not conserved
A_alge,P10127,Ortholog not conserved
A_alge,P10363,Conserved domain architecture
A_alge,P10663,Ortholog not conserved
A_alge,P10862,Lost domain(s)
A_alge,P10869,Ortholog not conserved
A_alge,P10962,Lost domain(s)
A_alge,P10963,Ortholog not conserved
A_alge,P11325,Ortholog not conserved
A_alge,P11353,Ortholog not conserved
A_alge,P11412,Conserved domain architecture
A_alge,P11491,Ortholog not conserved
A_alge,P11745,Conserved domain architecture
A_alge,P11747,Ortholog not conserved
A_alge,P11986,Ortholog not conserved
A_alge,P12385,Conserved domain architecture
A_alge,P12687,Ortholog not conserved
A_alge,P12695,Ortholog not conserved
A_alge,P12709,Gained/swapped domain(s)
A_alge,P12753,Lost domain(s)
A_alge,P12754,Ortholog not conserved
A_alge,P12868,Ortholog not conserved
A_alge,P12887,Conserved domain architecture
A_alge,P12904,Ortholog not conserved
A_alge,P12945,Ortholog not conserved
A_alge,P13099,Gained/swapped domain(s)
A_alge,P13134,Ortholog not conserved
A_alge,P13259,Conserved domain architecture
